dataset,model,metric,mean,std
DoOR,ConnectomeSNN,test_acc,0.4554106714628298,0.012077277705394233
DoOR,ConnectomeSNN,epochs_to_80,,
DoOR,ConnectomeSNN,stopped_epoch,27.0,8.799350625391138
DoOR,ConnectomeSNN,spike_sparsity,0.8018952524233209,0.0056846219280770474
DoOR,ConnectomeSNN,params,1235892,
DoOR,ShuffledSNN,test_acc,0.4540317745803357,0.012634259632883064
DoOR,ShuffledSNN,epochs_to_80,,
DoOR,ShuffledSNN,stopped_epoch,24.733333333333334,7.085867893880312
DoOR,ShuffledSNN,spike_sparsity,0.8032661912881499,0.007195001603086293
DoOR,ShuffledSNN,params,1235892,
DoOR,SparseMLP,test_acc,0.4822541966426858,0.011157017503991177
DoOR,SparseMLP,epochs_to_80,,
DoOR,SparseMLP,stopped_epoch,15.866666666666667,2.5597618936887376
DoOR,SparseMLP,spike_sparsity,,
DoOR,SparseMLP,params,1237492,
DoOR,DenseMLP,test_acc,0.49174160671462835,0.011969117843364093
DoOR,DenseMLP,epochs_to_80,,
DoOR,DenseMLP,stopped_epoch,14.733333333333333,2.6040261866871424
DoOR,DenseMLP,spike_sparsity,,
DoOR,DenseMLP,params,1235147,
